query	count
trump	150
mr	144
president	78
said	64
hotel	43
oil	43
new	39
industry	35
offshore	35
safety	35
company	32
fintiklis	32
gas	32
companies	30
gulf	28
one	28
organization	26
year	26
angelle	25
last	25
york	25
like	24
platforms	24
would	24
energy	21
trumps	20
agency	19
business	19
drilling	19
times	19
also	18
mueller	18
time	18
years	18
deepwater	15
many	15
million	15
panama	15
people	15
according	14
administration	14
evangelicals	14
first	14
former	14
help	14
horizon	14
nuclear	14
obama	14
property	14
records	14
well	14
day	13
economy	13
page	13
united	13
way	13
department	12
environmental	12
even	12
federal	12
get	12
house	12
including	12
louisiana	12
regulations	12
states	12
workers	12
management	11
may	11
miles	11
owners	11
p	11
public	11
say	11
white	11
building	10
could	10
counsel	10
dispute	10
donald	10
every	10
independent	10
made	10
name	10
port	10
recent	10
russia	10
see	10
shallow	10
show	10
today	10
xxi	10
advertisementthe	9
america	9
american	9
behind	9
called	9
campaign	9
clear	9
evangelical	9
go	9
newsletter	9
operators	9
opinion	9
others	9
part	9
partners	9
please	9
renaissance	9
rule	9
water	9
waters	9
body	8
country	8
financial	8
force	8
hundreds	8
investigation	8
months	8
much	8
need	8
news	8
number	8
office	8
operating	8
order	8
owned	8
past	8
percent	8
private	8
special	8
statement	8
subscribe	8
take	8
two	8
wells	8
without	8
appears	7
article	7
billion	7
boats	7
changes	7
chief	7
control	7
days	7
decade	7
documents	7
election	7
equipment	7
executives	7
graham	7
interior	7
international	7
investment	7
jobs	7
lawyers	7
line	7
major	7
march	7
market	7
next	7
operations	7
panamanian	7
pay	7
political	7
r	7
real	7
rules	7
since	7
standards	7
three	7
top	7
us	7
used	7
violations	7
washington	7
weapons	7
whether	7
work	7
world	7
advertisement	6
air	6
back	6
believe	6
call	6
came	6
capital	6
city	6
coast	6
come	6
deal	6
declined	6
deep	6
effort	6
end	6
enforcement	6
filed	6
fire	6
four	6
government	6
home	6
hotels	6
investigators	6
july	6
mental	6
millions	6
ministry	6
moral	6
must	6
nearly	6
never	6
officials	6
old	6
personnel	6
physical	6
place	6
platform	6
putin	6
rate	6
rather	6
reported	6
right	6
role	6
security	6
seen	6
several	6
side	6
signed	6
tell	6
told	6
twitter	6
view	6
accident	5
across	5
advertisementcollapsesee	5
ago	5
agreement	5
along	5
already	5
always	5
another	5
asked	5
associated	5
association	5
benefited	5
businesses	5
candidate	5
contract	5
contributed	5
crews	5
current	5
danger	5
economic	5
entire	5
eric	5
facebook	5
family	5
firm	5
fla	5
found	5
going	5
higher	5
houston	5
inquiry	5
instead	5
interviewed	5
job	5
known	5
lafayette	5
large	5
lawyer	5
leaders	5
least	5
legal	5
looked	5
man	5
michael	5
moved	5
october	5
official	5
particularly	5
policies	5
presidency	5
problems	5
process	5
recently	5
related	5
reporting	5
rollback	5
run	5
shut	5
sign	5
simply	5
soon	5
speech	5
start	5
story	5
subpoena	5
tower	5
want	5
wants	5
worked	5
worker	5
accused	4
addition	4
address	4
ala	4
announced	4
appeared	4
arm	4
based	4
began	4
billy	4
box	4
bring	4
bromwich	4
bureau	4
buy	4
chain	4
change	4
christian	4
clicking	4
close	4
coming	4
comment	4
concerns	4
condition	4
costs	4
credit	4
critics	4
culture	4
cut	4
daily	4
decades	4
decision	4
delivered	4
doubt	4
edition	4
efforts	4
eight	4
either	4
email	4
enter	4
estate	4
executive	4
fact	4
failings	4
faith	4
father	4
feedback	4
fieldwood	4
fight	4
financially	4
focus	4
follow	4
forward	4
god	4
golf	4
good	4
grand	4
great	4
group	4
hand	4
headline	4
inspection	4
interest	4
interested	4
interference	4
interview	4
invalid	4
investors	4
involved	4
ithaca	4
killed	4
la	4
later	4
long	4
longtime	4
looking	4
majority	4
make	4
matter	4
means	4
meet	4
mexico	4
moment	4
money	4
moratorium	4
mostly	4
move	4
newland	4
newsletters	4
nytopinion	4
obtained	4
opened	4
operated	4
owe	4
owner	4
paper	4
politics	4
print	4
profits	4
program	4
project	4
psychiatrist	4
purchase	4
rates	4
reagan	4
regulatory	4
removal	4
remove	4
reprints	4
requests	4
requirement	4
response	4
robot	4
russian	4
save	4
saying	4
section	4
seeking	4
select	4
sense	4
september	4
serve	4
set	4
shelf	4
showing	4
six	4
small	4
something	4
state	4
support	4
sure	4
taking	4
tax	4
think	4
though	4
ties	4
took	4
using	4
verify	4
version	4
warned	4
week	4
weeks	4
working	4
written	4
ability	3
accidents	3
act	3
actions	3
active	3
additional	3
advertisementsupported	3
adviser	3
agenda	3
aging	3
agreed	3
almost	3
americans	3
among	3
anything	3
appointed	3
arbitration	3
around	3
attack	3
audience	3
august	3
average	3
backed	3
bankrupt	3
bankruptcy	3
battle	3
behavior	3
ben	3
bill	3
blood	3
blowout	3
board	3
boat	3
bonds	3
bought	3
brand	3
briefing	3
brought	3
businessman	3
byop	3
car	3
center	3
charge	3
chevron	3
chiasson	3
children	3
church	3
co	3
command	3
common	3
conduct	3
conducted	3
confidential	3
conflict	3
congress	3
continued	3
contributorby	3
copy	3
court	3
cover	3
crew	3
criticism	3
decline	3
different	3
director	3
disaster	3
dolphin	3
dozen	3
drill	3
dropped	3
dump	3
ed	3
editor	3
effect	3
enough	3
equity	3
era	3
explosion	3
exxon	3
familiar	3
far	3
february	3
feet	3
filing	3
finds	3
fitness	3
flawed	3
floor	3
founder	3
fourchon	3
front	3
gave	3
gets	3
given	3
grace	3
grew	3
grow	3
guy	3
half	3
hard	3
head	3
health	3
held	3
helped	3
highest	3
holdings	3
honor	3
hope	3
important	3
increase	3
independents	3
individual	3
inspections	3
inspectors	3
intended	3
interfere	3
investigations	3
involving	3
issued	3
k	3
keep	3
kirk	3
know	3
language	3
late	3
latin	3
law	3
leading	3
leak	3
lean	3
left	3
letter	3
lives	3
lobby	3
local	3
look	3
lost	3
lot	3
making	3
manage	3
mandate	3
meeting	3
members	3
mexicoabyssalplain	3
mike	3
mile	3
military	3
monday	3
month	3
moscow	3
movements	3
moving	3
music	3
night	3
obviously	3
occupancy	3
ocean	3
officer	3
often	3
optionsadvertisementsupported	3
orders	3
partner	3
patterns	3
perhaps	3
period	3
person	3
plan	3
played	3
possible	3
presidential	3
presidents	3
press	3
prevent	3
properties	3
proposal	3
prosecutor	3
protection	3
protess	3
provide	3
publicly	3
questions	3
relationship	3
reliability	3
repeatedly	3
request	3
require	3
required	3
requirements	3
residents	3
rig	3
rigs	3
running	3
runs	3
scott	3
senior	3
separate	3
serious	3
significantly	3
signs	3
similar	3
someone	3
son	3
soros	3
spent	3
spiritual	3
spokeswoman	3
staff	3
stephen	3
stock	3
stormy	3
strong	3
struggling	3
tactics	3
taxes	3
term	3
things	3
toward	3
tried	3
turn	3
turns	3
unit	3
units	3
unlike	3
use	3
various	3
voters	3
wages	3
whose	3
wrote	3
accusing	2
acquire	2
activities	2
adding	2
admiral	2
advised	2
agreements	2
airman	2
alan	2
allowed	2
analysis	2
analysts	2
angst	2
anthony	2
appeals	2
applause	2
area	2
arena	2
argue	2
arms	2
arthurhoustonnew	2
asgard	2
assets	2
assume	2
attended	2
attention	2
authorities	2
aware	2
away	2
baby	2
banks	2
bannon	2
barrels	2
became	2
become	2
becoming	2
begun	2
believed	2
benefits	2
biblical	2
bigger	2
blamed	2
bond	2
breaux	2
bridge	2
broken	2
bruni	2
cajundome	2
cantium	2
carter	2
cases	2
certain	2
certainly	2
certify	2
chamber	2
charalambides	2
checking	2
christ	2
christicontinentalslopegulf	2
cited	2
claim	2
closed	2
closing	2
clubs	2
coastal	2
cohen	2
commander	2
communities	2
competition	2
complaint	2
complete	2
compliance	2
computer	2
concern	2
congressional	2
conservative	2
continental	2
continue	2
continues	2
corporate	2
cost	2
counter	2
cyberattacks	2
damaged	2
daniels	2
data	2
david	2
december	2
declared	2
deeply	2
defense	2
degree	2
deliver	2
demanding	2
democrat	2
democrats	2
deploying	2
desire	2
development	2
devices	2
died	2
difficult	2
difficulties	2
directly	2
discussed	2
discussion	2
disputed	2
division	2
dollars	2
done	2
double	2
drillships	2
drive	2
drops	2
duties	2
early	2
easily	2
easing	2
economists	2
eldest	2
emails	2
emerged	2
employed	2
employees	2
engaging	2
ensure	2
entered	2
episodes	2
estimated	2
evaluation	2
ever	2
evidence	2
examine	2
examples	2
explaining	2
exposed	2
extraordinary	2
eyes	2
facilities	2
failure	2
failures	2
fall	2
falling	2
families	2
fearful	2
fighting	2
figure	2
finalized	2
finally	2
firefighting	2
firms	2
flat	2
flood	2
focused	2
following	2
foreign	2
franklin	2
friday	2
fuel	2
garten	2
gathering	2
general	2
george	2
getting	2
got	2
governor	2
greater	2
greatest	2
growing	2
growth	2
guests	2
guez	2
helping	2
host	2
hot	2
hour	2
hours	2
huge	2
human	2
hurting	2
idea	2
illegal	2
imposed	2
improve	2
improved	2
impulsive	2
include	2
included	2
includes	2
increasing	2
indication	2
inquiries	2
insecurity	2
inside	2
investigating	2
issues	2
jackson	2
james	2
january	2
jimmy	2
john	2
joined	2
justice	2
kick	2
kind	2
lack	2
largest	2
lead	2
leader	2
leaks	2
learned	2
leave	2
lectern	2
leeches	2
liberal	2
life	2
lift	2
likely	2
lines	2
little	2
lobbying	2
lott	2
love	2
lowest	2
macro	2
maggie	2
maintenance	2
managing	2
manhattan	2
margin	2
marine	2
martinelli	2
material	2
matters	2
meant	2
meddling	2
media	2
men	2
messages	2
miami	2
middle	2
might	2
milesmiss	2
mind	2
mission	2
mob	2
mobil	2
monstavicius	2
moon	2
morning	2
names	2
nation	2
natural	2
network	2
nine	2
nothing	2
offers	2
officers	2
offices	2
open	2
opening	2
operate	2
operates	2
opportunity	2
optionsadvertisementby	2
ordered	2
orestes	2
outside	2
paid	2
palm	2
peak	2
perfectly	2
perkins	2
personal	2
picture	2
pipeline	2
planet	2
point	2
police	2
policy	2
position	2
possibility	2
power	2
prepare	2
presence	2
presentation	2
preventers	2
prevents	2
prices	2
primary	2
probably	2
production	2
promised	2
properly	2
protect	2
protections	2
pulled	2
punishable	2
pushed	2
put	2
question	2
quit	2
ran	2
reaction	2
reading	2
reads	2
ready	2
reason	2
recalled	2
recession	2
record	2
red	2
regulation	2
rejecting	2
relief	2
religious	2
remains	2
remarks	2
reminding	2
removed	2
removing	2
repair	2
repeat	2
reporter	2
representatives	2
resembling	2
reserves	2
responsibility	2
retired	2
reveal	2
revenues	2
reverse	2
reviewed	2
robison	2
rodr	2
room	2
rooms	2
russians	2
safe	2
sat	2
schmidt	2
scrutiny	2
seem	2
seemed	2
seems	2
semple	2
senator	2
send	2
serves	2
service	2
shall	2
shape	2
short	2
shoving	2
sides	2
sight	2
smaller	2
somewhat	2
sort	2
sought	2
source	2
speaking	2
spend	2
spill	2
spilled	2
