query	count
abandon	1
abandoned	1
abc	13
abdelkefi	3
abhorrent	1
ability	5
able	4
abolition	1
abortion	3
abraham	2
abrasive	1
abroad	3
abrogates	1
absolute	1
absolutely	1
absorption	1
abuse	5
abused	2
abusers	2
abuses	1
abusing	1
academic	1
acceptable	1
accepted	1
accepting	2
access	15
accidental	1
accommodate	1
accompanied	1
accomplishing	1
accord	8
according	32
accords	1
account	5
accountability	1
accountant	1
accounts	6
accuracy	2
accurate	2
accurately	1
accusation	1
accusations	3
accuse	1
accused	8
accusers	1
accuses	1
accusing	4
achieve	2
achieving	3
achilles	1
acknowledged	5
acquiesced	1
acquire	1
acquired	1
acquisition	3
acquisitions	2
acres	1
across	4
act	6
acted	2
acting	2
action	18
actions	8
active	1
actively	1
activist	1
activists	1
activities	5
activity	1
actors	1
actress	4
acts	2
actual	3
actually	4
adamantly	1
adapt	1
add	2
added	7
addicted	1
addiction	1
adding	9
addition	3
additional	5
address	22
addressed	1
adept	1
adequately	1
adhere	2
adios	2
adm	2
administration	61
administrations	2
admiration	1
admirer	1
admission	1
admit	1
admitted	1
admittedly	1
adolphe	1
adornment	1
ads	2
adults	2
advance	2
advances	1
advantage	4
advent	1
adversaries	2
advertisement	10
advertisementa	2
advertisementafter	1
advertisementahead	1
advertisementamazon	1
advertisementan	1
advertisementand	1
advertisementat	1
advertisementbarr	1
advertisementboth	1
advertisementbut	2
advertisementby	22
advertisementchanning	1
advertisementchristopher	1
advertisementcollapsesee	9
advertisementif	1
advertisementin	3
advertisementinside	1
advertisementit	3
advertisementlepage	1
advertisementlindsay	1
advertisementmr	4
advertisementms	3
advertisementon	1
advertisementprevious	1
advertisementrecently	1
advertisementrepealing	1
advertisementrepublicans	1
advertisementright	1
advertisementseattle	1
advertisementshe	1
advertisementsince	1
advertisementsupported	7
advertisementtech	1
advertisementthe	15
advertisementtrump	1
advertisementwendy	1
advertisementyet	1
advertising	2
advice	5
advise	1
adviser	11
advisers	14
advises	2
advisory	2
advocacy	2
advocate	3
advocated	1
advocates	1
affair	9
affairs	3
affect	1
affiliate	1
affirmation	1
afford	1
affront	1
afghanistan	2
afoul	1
afraid	1
african	2
afrin	2
afternoon	2
afterward	1
agbozo	1
age	5
agencies	5
agency	7
agenda	7
agendas	1
agent	6
aggression	2
aggressive	3
aggressively	1
aggressiveness	1
ago	8
agree	4
agreed	4
agreement	37
agreements	3
agriculture	2
ahead	3
aid	5
aide	5
aided	1
aides	7
aimed	2
aipac	1
air	4
aired	1
airy	1
akin	1
alan	1
alarm	1
alaska	3
alert	1
alertness	1
alex	2
alexander	1
alienating	1
align	1
aligned	2
alike	1
alissa	2
allegations	16
alleged	11
allegedly	1
alleging	2
alliance	4
allies	18
allocation	1
allow	3
allowed	3
allure	1
ally	2
almost	5
alone	1
along	5
alongside	2
aloud	1
alphabet	3
already	12
also	55
alt	3
although	3
altogether	2
aluminum	5
alwaleed	1
always	3
amazing	1
amazon	51
ambassador	10
ambassadors	4
ambitious	1
amendment	17
america	30
american	89
americans	11
amid	4
amnesty	1
amnestying	1
among	13
amos	1
amount	1
amounted	1
amounts	1
amuses	1
ana	3
analysts	8
analytica	2
analyze	1
anaswansonadvertisementcollapsesee	1
anatoly	1
anatomy	1
anchor	2
anchorage	1
anderson	3
andrew	3
andreyev	1
angeles	5
anger	3
angola	4
angolan	5
angolans	3
angry	2
animated	1
ann	4
announced	13
announcement	5
announces	1
announcing	1
annoy	1
annual	3
anonymity	4
anonymous	1
another	11
answer	3
answered	1
antagonists	2
anthem	1
anthony	1
anti	10
anticorruption	1
antipathy	1
antithetical	1
antitrust	7
antonov	2
anxiety	1
anymore	2
anyone	4
anything	8
anywhere	3
ap	1
apart	2
apologetic	1
apparent	2
apparently	2
appeal	2
appealed	1
appeals	1
appear	1
appearance	4
appearances	2
appeared	1
appearing	1
appears	19
appeasing	2
appetite	2
applauded	1
applause	2
apple	15
application	1
appoint	1
appointed	1
appointment	2
apprentice	3
approach	15
approaching	1
appropriate	1
appropriately	1
approval	2
approved	3
approvingly	2
approximately	1
april	3
arab	2
arabia	19
arabic	1
archie	1
ardent	1
area	2
areas	5
argue	4
argued	4
arguing	4
argument	8
arguments	4
ari	1
arisen	1
arizona	1
arkansas	1
armed	2
armies	1
arming	1
armor	1
arms	4
army	2
around	21
arrange	2
arranged	4
arrangement	1
array	1
arrest	2
arrested	1
arrival	1
arrived	2
arriving	1
arrogance	2
art	1
arthur	1
article	19
articles	2
artificially	1
artillery	2
ascendancy	1
ashok	1
aside	4
ask	2
asked	18
asking	4
assailed	1
assailing	1
assault	3
assaulting	1
assembled	2
asserted	1
assertion	1
assess	1
assessment	2
assigned	1
assimilated	1
assistance	2
assistant	1
associate	3
associated	6
associates	6
association	4
assorted	1
assumed	1
assured	1
assuredness	1
astounding	1
asylum	1
atlantic	1
attack	17
attacked	6
attacking	2
attacks	6
attempt	3
attempting	1
attempts	1
attend	1
attended	4
attendees	1
attentiveness	1
attested	1
attorney	6
attracted	1
attuned	1
audience	4
audiences	5
august	5
austin	2
author	4
authoritarians	1
authorities	1
authority	4
authorize	1
authorized	5
auto	2
automobile	1
automobiles	2
autos	2
availability	1
available	2
avenatti	3
average	1
averaged	1
averse	1
avocados	1
avoid	5
avoided	2
avoiding	1
awaited	1
awake	1
award	1
aware	1
away	5
awesome	1
axios	2
b	22
babies	2
bachelor	1
back	36
backed	2
backer	1
background	3
backlash	1
bad	5
badges	1
bags	1
bait	1
baker	3
balance	4
balancing	1
ballistic	3
ballooned	2
ballot	1
ban	4
banished	1
banjo	1
bank	2
banker	1
bankroll	1
bankrolling	1
bankruptcies	1
bankruptcy	2
bannon	3
bans	1
barack	6
barbecue	1
bare	1
barometer	2
barr	16
base	1
baseball	1
based	9
basement	1
basic	3
basis	2
basketball	1
basta	1
battle	2
bear	1
beards	2
bearer	1
bearing	3
beat	1
beautiful	2
became	5
become	7
bed	3
beecher	1
beef	2
beer	2
began	4
begin	1
beginning	3
beginnings	1
begun	1
behalf	5
behavior	5
behemoth	1
behind	3
beholden	1
beijing	5
belatedly	1
beliefs	1
believe	15
believed	3
believes	8
bellicosity	1
bells	1
belt	2
ben	2
beneficial	1
benefit	4
benefited	1
benefits	5
bengaluru	1
bennermarch	1
bennett	1
best	12
bet	1
betrayal	2
betrayed	2
better	8
betting	1
beverly	1
beyond	6
bezos	10
bid	1
biden	5
big	7
bigger	1
biggest	5
bile	1
bill	17
billed	1
billion	17
billionaire	1
billions	2
bills	1
billy	1
bin	5
bind	1
bing	1
bipartisan	5
birth	1
birther	1
bit	5
bitter	1
bizarre	1
black	4
blackest	1
blaming	1
blanchard	1
blared	2
blast	1
blasting	1
blew	2
blind	1
blink	1
blinkers	1
bloc	1
block	5
blocking	1
blocks	2
blogger	1
bloggers	1
blood	1
bloodstream	1
blowas	1
blue	5
blunting	1
boardin	2
boasted	1
boatload	1
bob	1
bobby	2
bodybuilding	1
bolstering	1
bolton	12
bomb	1
bonuses	1
book	12
books	2
boost	1
border	10
borders	1
boris	1
born	3
boroughs	1
borrow	1
borrowing	1
botched	1
bother	2
bought	4
bound	1
boundless	1
bounds	1
box	20
boy	8
br	1
bracing	1
brad	2
brain	1
brainer	1
branch	1
brands	1
brash	1
bravado	1
brazenness	2
breach	1
break	5
breakdown	1
breakfast	1
breakthrough	1
breathless	1
breed	2
brent	1
brian	1
bribery	1
brick	1
bricks	1
bridge	1
bridges	1
brief	4
briefed	7
briefing	4
briefly	3
brilliant	2
brin	1
bring	8
bringing	1
brings	2
britain	13
british	7
britons	1
broad	3
broadcast	4
broadcasters	1
broadcasting	1
broadcom	1
broader	2
broadly	1
brochure	1
broidy	53
broke	1
broker	2
brought	4
bruni	33
brunidonald	1
brunt	1
brush	2
brussels	1
buck	1
budget	6
build	14
building	3
builds	1
built	1
bulk	1
bully	1
bumpy	1
bungling	1
bunkum	1
bunny	1
burbank	1
burden	1
bureau	8
burt	1
bury	1
bush	4
business	36
businesses	6
businessman	5
butchered	1
butt	1
buy	4
buying	1
buzz	1
byby	6
byeditorialby	2
byop	2
c	10
cabinet	4
cable	1
cafe	1
cahoots	1
calamitous	1
calculations	1
calendar	1
calif	2
california	5
caliphate	2
call	11
called	25
calling	4
calls	6
calmed	1
cambridge	2
came	17
camera	1
camp	1
campaign	48
campaigns	3
campus	1
canada	3
canadian	1
canceled	1
candidacies	1
candidacy	1
candidate	11
candidates	3
candlelight	2
cannot	4
capabilities	2
capacity	1
capital	8
capitalize	1
capitalized	1
capitals	1
capitol	5
caption	1
car	3
card	2
cards	1
care	6
career	3
careers	1
careful	1
cares	1
cargo	1
carloads	1
carmakers	3
carnival	1
carper	1
carried	2
carries	1
carry	1
carrying	1
cars	5
carson	1
carter	2
cascade	1
case	11
cases	6
cash	4
casino	1
castellanos	1
casting	2
casual	1
catch	3
categorically	1
category	1
cathartic	1
caucus	1
causing	1
caution	2
caved	1
caveman	1
cbs	3
cd	1
cecchi	7
cecilia	2
ceding	2
celebrating	5
celebration	1
celebrity	2
cemented	1
census	16
center	7
centered	2
centers	1
central	8
century	5
ceo	2
cereal	1
ceremonies	1
ceremony	1
certain	1
certainly	4
chains	1
chair	1
chairman	9
chairmen	1
chairwoman	2
challenges	1
chambers	1
championed	2
championing	1
champions	1
chance	4
chances	1
change	6
changed	2
changes	2
changing	2
channeled	1
channels	1
chant	3
chaos	2
chapter	3
character	7
characterize	1
characterized	1
charge	5
charged	1
charges	8
charles	3
charlesmblow	1
charlie	1
charm	1
chat	1
chatted	1
chblow	1
che	1
cheap	1
cheaper	1
cheat	1
cheated	2
checklist	1
checks	2
cheered	1
cheerleading	1
cheeseburgers	1
chemical	2
chest	1
chicago	1
chief	19
chihuahuas	1
child	2
china	14
chinese	2
chip	1
chiseled	1
chits	1
choe	1
choice	3
choices	1
choleric	1
chooses	1
choosing	1
christopher	4
chronicles	1
chuck	2
cia	1
cincinnati	2
circinus	20
cited	2
cities	2
citing	2
citizen	1
citizens	2
citizenship	9
city	4
civic	1
civil	6
civilians	1
claim	4
claimed	5
claiming	2
claims	6
clamp	1
clark	3
clashed	1
class	8
classes	1
classified	1
clause	1
clean	3
clear	8
clearance	2
clearances	1
cleared	1
clearer	1
cleveland	2
clicking	20
client	3
clients	6
clifford	33
climate	4
clinging	1
clinton	13
clip	1
close	22
closed	2
closely	1
closer	3
closes	1
closing	3
closure	1
clothes	1
clothing	1
cloud	4
cnn	2
co	6
coal	1
coalition	5
coarse	1
coasts	1
coats	2
cochran	1
code	1
coerce	1
coerced	1
coercive	1
cohen	8
cohn	1
colbie	1
cold	1
collaborators	1
collapsed	1
collar	2
collect	3
collected	1
collecting	1
collection	1
collects	2
college	1
color	1
colorful	1
columbia	2
columns	4
com	6
come	20
comeback	1
comedy	4
comes	6
comey	1
comfortable	1
coming	16
command	2
commander	4
comment	14
commented	1
comments	9
commerce	4
commercial	1
commission	3
commitment	2
committed	3
committee	17
common	2
communication	1
communications	2
communist	2
communities	2
community	2
companies	16
company	61
compare	1
compared	2
comparing	1
comparison	2
compass	1
compel	1
compete	1
competing	2
competition	6
competitive	2
competitors	1
compiled	1
complacent	1
complain	3
complained	2
complaints	1
complete	3
completely	2
completing	1
complex	3
complexity	1
compliance	2
compliant	1
complicated	2
complied	1
complies	1
compounding	1
compromise	1
compromised	1
compromising	1
computer	1
computers	1
concentration	1
concern	4
concerning	2
concerns	14
concessions	1
conclusion	1
conclusions	1
concocted	1
concrete	1
condemn	1
condemned	1
condemning	1
condensed	1
condescending	1
condition	2
conditions	1
condo	1
condom	1
conduct	1
conducted	4
conducting	1
conduit	3
conference	1
confesses	1
confident	2
confidential	1
confines	1
confirm	1
confirmation	1
confirmed	3
conflates	1
conflict	7
conflicted	1
conform	1
confronted	1
confronting	1
confusing	1
confusion	1
congo	1
congolese	2
congratulate	5
congratulated	1
congratulations	1
congress	15
congressional	6
congressman	1
conjecture	1
connect	1
connected	1
connection	2
connections	8
conner	2
connor	4
conscious	1
consensual	1
consequences	1
conservation	1
conservative	4
conservatives	4
consider	1
considerable	1
considerations	1
considered	3
considering	4
considers	1
consistently	2
consoled	1
consolidate	1
conspiracy	3
constantly	3
consternation	1
constitution	3
constitutional	2
constraints	1
construct	1
constructive	2
consular	2
consulate	4
consultants	2
consulting	1
consumer	2
consumers	4
consuming	2
contact	3
contacts	2
contained	1
containers	1
contempt	1
content	5
contentious	2
context	2
continent	1
continually	1
continuation	1
continue	5
continued	9
continues	2
continuing	2
continuously	1
contract	5
contracting	2
contractor	1
contracts	7
contradicted	1
contradicting	1
contradicts	1
contrary	1
contrast	3
contribute	1
contributed	12
contributing	1
contribution	3
contributorby	2
control	16
controlled	1
controls	1
controversy	2
convenient	2
convention	1
conventional	2
conventions	1
converge	1
conversation	10
conversational	1
conversations	7
conveyor	1
convicted	2
convince	1
convinced	4
cook	4
coolly	1
cooper	7
cooperate	3
cooperated	1
cooperating	2
cooperation	2
coordinated	2
coordinating	1
coordination	1
copies	1
copy	3
copycats	1
cord	1
core	2
corey	2
corndogs	1
corporate	4
corrected	1
corrupt	1
corruption	3
cosby	1
cost	3
costs	4
cotton	1
could	44
coulter	38
council	7
counsel	14
counselor	1
counsels	1
count	2
counted	1
counter	3
counteracted	1
counterculture	1
countered	1
counterpart	1
counterterrorism	2
countries	16
country	30
county	1
couple	4
course	6
court	12
cover	10
coverage	1
covered	1
covering	1
covert	2
coveted	1
cow	1
cowboy	1
cowering	1
crack	2
crackdown	1
cramped	1
cranking	1
crazy	2
create	3
created	2
creating	1
creator	1
credit	3
creepy	1
cribbed	1
crimes	2
criminal	1
criminalizing	1
crisis	6
critic	3
critical	3
criticism	5
criticisms	1
criticize	1
criticized	3
criticizing	1
critics	3
critique	1
crocker	1
crops	1
crosby	1
cross	3
crossed	1
crowd	4
crowds	1
crown	10
crush	2
cruz	2
cuban	1
cudgel	1
cultivate	2
cultivated	1
cultural	3
culture	3
cunningham	1
curb	2
curious	1
curiously	1
currencies	1
currency	7
current	2
currently	2
curtail	1
curtails	1
customer	1
customers	1
customs	1
cut	3
cuts	3
cyberattacks	1
cybersecurity	1
cynic	1
cynical	1
czaputowicz	3
daily	2
damaged	1
damaging	1
dan	2
dana	1
danger	3
dangerous	5
dangers	1
daniel	1
daniels	13
dare	1
daring	1
darkly	1
darlene	1
dartmouth	1
data	11
date	1
dated	2
daughter	7
davening	2
david	8
dawn	2
day	22
days	17
de	1
dead	1
deadline	1
deadly	1
deal	32
dealing	2
dealings	1
deals	4
dealt	1
dean	1
dear	1
death	7
debatable	1
debate	8
debates	1
debts	1
debut	2
debuted	1
decade	2
decades	8
deceased	2
december	1
decency	3
decide	2
decided	4
decision	17
decisions	4
declaration	1
declare	1
declared	1
declaring	1
declassified	1
declassify	1
decline	1
declined	13
declines	2
decorated	1
decreased	1
dedicated	1
deduction	1
deep	5
deeply	1
defamation	2
defamed	1
defeat	2
defend	5
defended	2
defender	1
defense	16
defensive	1
definitely	1
degree	1
delaware	1
delay	2
delayed	1
delaying	1
delegation	1
deleted	2
delhi	1
deliberate	2
deliberately	1
delighted	1
deliver	1
delivered	6
delivering	4
delivers	1
delivery	5
delrahim	1
delta	1
delusional	1
demand	2
demanded	1
demanding	1
demands	1
demise	1
democracy	1
democrat	7
democratic	13
democrats	12
demographic	1
demonization	1
demonstrate	1
demonstrated	1
demonstration	1
demonstrations	1
denials	1
denied	7
denies	1
denigrating	1
denis	1
denmark	1
denounced	2
denounces	1
denouncing	1
denuclearization	2
denuclearizing	5
deny	2
denying	3
department	40
departmental	1
departments	1
departure	3
departures	2
depend	1
depends	1
deploy	1
deployed	1
deport	1
deportation	1
depressed	1
depth	1
deputy	9
der	7
deregulation	1
derives	1
describe	1
described	9
describes	2
describing	3
deserve	1
designated	1
designation	1
designing	1
desire	1
desk	1
desperate	2
desperately	1
desperation	1
despite	5
destabilize	1
destroy	1
detail	1
details	10
deter	1
deteriorating	1
determination	1
determine	3
determines	1
determining	1
deterrence	1
deterrent	1
detonated	1
detrimental	1
devaluation	1
devastating	1
develop	1
developed	1
developer	1
developing	2
development	2
device	1
devised	1
devout	1
devoutly	1
dewey	4
dexterity	1
dialogue	2
diana	1
diapers	1
diaspora	1
diatribes	1
die	2
diet	1
differences	2
different	10
digital	3
diminish	1
dimming	1
dined	2
dinner	16
dinners	1
diplomacy	2
diplomat	1
diplomatic	8
diplomats	19
direct	9
directed	1
direction	1
directly	6
director	11
directs	1
disadvantaged	1
disagree	5
disagreed	1
disagreement	1
disagreements	1
disappearing	2
disappointment	1
disaster	1
discipline	1
disciplined	1
disclosed	1
disclosure	1
discomfited	1
discomfits	1
disconnected	1
discount	1
discourse	1
discovered	1
discredit	3
discrediting	1
discretion	1
discuss	5
discussed	3
discussing	2
discussion	1
discussions	8
disdain	3
disease	1
disgraced	1
disgraceful	1
disinformation	3
disingenuous	1
dismantled	1
dismantlement	1
dismiss	1
dismissal	1
dismissed	4
disney	1
disparage	1
disparaged	1
dispatching	1
dispense	1
disputation	1
disputed	2
disputes	3
disregard	1
disrupt	1
disruptive	1
disruptor	1
disrupts	1
dissent	2
distance	2
distanced	1
distasteful	1
distract	1
distraction	2
distributed	1
district	5
districts	1
disturbing	1
ditched	1
ditching	1
diverse	2
diversity	1
dividing	1
division	1
divisions	2
divisive	1
divisiveness	1
divorc	1
dm	1
doctor	1
document	12
documentary	2
documents	7
dollar	2
dollars	3
domestic	4
dominated	1
donald	25
done	9
dongguk	1
donor	1
donors	6
double	1
doubled	1
doubles	1
doubt	2
douglas	2
dozen	4
dragnea	3
drain	2
dramatic	1
dramatically	1
draw	1
drawn	3
draws	2
dream	1
dreamers	1
dreaming	1
dreams	1
dreamscape	1
dressing	1
drew	2
drian	1
dribbled	1
drift	1
drive	2
driven	2
driving	4
drone	1
drones	2
drop	1
dropped	2
drought	1
drudge	1
drug	7
drunk	1
dubbed	1
due	4
dumb	1
dung	1
dungey	3
dusted	1
dvd	1
dwindled	1
dylan	1
dynamic	1
e	17
eager	4
eagerly	1
earlier	7
earliest	1
early	12
earn	1
ears	1
ease	1
eased	1
east	6
eastern	3
easy	4
eating	1
ebbs	2
eberhart	1
eccentric	1
echoed	1
economic	12
economies	1
economy	7
ed	5
edge	2
edginess	1
edited	2
edith	1
editing	3
edition	12
editor	1
editorial	2
edt	2
education	2
effect	4
effective	2
effectively	4
effectiveness	1
efficiency	1
effort	12
efforts	9
efron	1
ego	3
egypt	1
eileen	2
either	5
el	1
elaborate	1
elated	1
elder	1
elected	5
election	35
elections	7
electricity	1
element	1
elevation	1
elimination	1
elite	1
elites	1
elliott	1
ellison	2
else	10
elsewhere	3
email	25
emailed	3
emails	2
emanuel	1
embarks	1
embassy	7
embodying	1
embrace	2
embracing	1
emerge	1
emerged	3
emily	1
emirates	2
emiratis	1
emmanuel	2
emmy	1
emmys	1
emoluments	1
emoting	1
emotional	2
emperor	1
emphasized	2
emphasizes	1
emphasizing	1
empire	2
empirical	1
empirically	1
employed	1
employee	3
employees	7
employers	1
empt	2
en	1
enclave	1
enclaves	1
encounter	3
encountering	1
encounters	4
encouraged	2
encouraging	2
end	8
endangered	1
endeavor	1
ended	2
endlessly	1
endorsed	5
endorsement	1
ends	1
enemies	3
enemy	2
energized	1
energy	5
enforce	1
enforceable	2
enforcement	6
enforcing	1
engage	1
engaged	2
engagement	2
engaging	3
english	1
engulfed	1
engulfing	1
enhance	1
enhanced	1
enjoying	1
enlarge	1
enough	11
enquirer	15
ensigns	1
ensues	1
ensure	3
ensuring	1
enter	21
entered	3
entering	2
enters	1
entertainment	4
enthralled	1
enthusiasm	1
enthusiastic	1
enthusiastically	1
entire	3
entities	1
enumerated	1
environment	3
environmental	5
envisions	1
envoy	2
epidemic	1
episode	1
episodes	2
equilibrium	1
equipment	1
equity	1
equivalent	2
era	4
erdogan	4
eric	5
erlanger	1
erlangermarch	1
erode	1
eroded	1
errais	3
errol	1
error	1
escalated	1
escalating	1
escalator	2
escaping	1
especially	8
espionage	1
espoused	2
essay	1
essentially	1
establish	2
established	3
establishment	2
estate	6
estimate	1
ethically	1
ethics	1
euphoric	1
europe	2
european	6
evading	1
evaluate	1
evaluates	1
evaporate	1
even	42
evening	5
event	6
events	11
eventually	3
ever	9
every	17
everybody	1
everyone	2
everything	5
evict	1
evidence	11
evil	1
evita	1
ex	3
exactly	2
examination	1
examine	2
example	2
excellent	1
exception	1
excessive	1
exchange	3
exclamation	1
exclusively	2
executed	1
executions	2
executive	11
executives	12
exempt	1
exempted	1
exemption	1
exemptions	2
exert	1
exiled	1
exist	2
existence	1
existences	1
existential	2
existing	2
exiting	1
expand	3
expanded	1
expanding	2
expansion	1
expect	2
expectancy	1
expectation	1
expected	4
expects	1
expedite	1
expel	6
expelled	4
expensive	2
experience	1
experiences	1
expertise	2
experts	7
expire	1
explained	2
explaining	1
explains	1
exploded	1
exploding	1
exploit	1
exploiting	1
exploration	2
explore	1
explored	1
explosive	1
export	3
exporter	1
exports	2
exposed	3
exposing	2
expressed	7
expressing	1
expulsion	6
expulsions	6
extended	4
extends	2
extensions	1
extent	1
extra	1
extract	1
extraordinary	1
extreme	1
extremely	2
eye	4
eyeing	2
eyes	2
eymen	1
